geoid,borough,latitude,longitude,median_gross_rent,median_household_income,population,housing_units,assessed_land_value,lot_area,residential_area,transit_access_score
36000000000,Manhattan,40.743833,-73.870781,600.0,90573.55,2376.9,852.1,127716661.42,2315381.7,2299490.7,1.2627
36000000001,Brooklyn,40.679328,-73.7049,2039.86,95053.79,2997.0,1188.8,353407364.72,1737005.7,2244639.1,1.0231
36000000002,Queens,40.741294,-73.899461,1484.44,64291.29,3707.0,1540.3,177811659.82,2928899.7,4033185.0,1.4279
36000000003,Bronx,40.739162,-73.691047,2131.91,48469.45,5780.6,2935.9,140326500.23,1843859.2,2498785.2,0.8207
36000000004,Staten Island,40.689944,-73.736889,1337.38,81035.7,4525.0,1964.2,482980134.58,2796819.7,1344128.1,0.5901
36000000005,Manhattan,40.651985,-74.017497,846.56,83150.92,3752.5,1565.7,116715424.01,2025009.9,888928.0,1.1012
36000000006,Brooklyn,40.726944,-73.859827,1850.91,59962.76,5020.7,1986.9,114444056.47,3314012.5,3216526.5,0.411
36000000007,Queens,40.654334,-73.8811,1179.94,40801.11,4896.0,2244.2,470622334.49,3221436.8,4972068.8,0.5535
36000000008,Bronx,40.72629,-73.881828,1524.91,52113.78,3665.6,1338.3,188949173.53,3038275.2,3271383.5,1.1599
36000000009,Staten Island,40.64437,-73.783251,1487.56,65636.35,4088.4,1800.8,68795120.27,1297598.8,2383859.1,1.2329
36000000010,Manhattan,40.765373,-73.7821,1529.12,99181.48,5232.5,2194.7,116975388.49,2415106.2,4200579.6,0.8676
36000000011,Brooklyn,40.692924,-73.951196,1381.63,73705.65,2175.5,780.9,253973313.47,2123456.6,2728768.2,1.152
36000000012,Queens,40.713456,-73.799052,1886.4,72302.62,6102.9,2738.2,145829677.78,2921184.0,3562715.5,0.6418
36000000013,Bronx,40.647295,-73.705459,2143.79,34959.53,3888.9,1276.7,326978511.44,1685978.8,651638.4,0.8636
36000000014,Staten Island,40.697865,-73.85316,600.0,44251.09,4574.8,2050.5,269477188.21,2226178.5,635930.0,1.145
36000000015,Manhattan,40.752207,-73.715305,711.7,43144.31,3519.2,1625.0,519526960.03,2852618.1,4331039.8,0.9445
36000000016,Brooklyn,40.637239,-73.708556,1300.36,44837.2,7179.9,2494.1,319473951.85,3354640.3,6113107.3,0.5853
36000000017,Queens,40.666547,-73.844881,2026.56,52285.1,3563.0,1506.2,314670378.27,1449856.2,2153331.1,0.9857
36000000018,Bronx,40.762527,-73.716228,1886.02,99344.04,3624.7,1585.8,556327510.98,2985880.8,2039535.3,1.1
36000000019,Staten Island,40.76989,-73.93807,1638.7,109367.98,3663.5,1420.4,150404951.73,1603658.9,2457956.8,1.5778
36000000020,Manhattan,40.775492,-73.849748,2622.64,76101.79,4326.8,1613.9,102162205.62,754845.1,1053411.3,0.9428
36000000021,Brooklyn,40.712979,-73.952076,927.64,89981.66,4242.9,2163.8,341313327.81,3039662.8,2269306.9,0.8831
36000000022,Queens,40.698173,-73.794626,1318.52,64291.86,3886.6,1541.2,139188001.95,2758916.0,1328584.5,1.4681
36000000023,Bronx,40.687058,-73.691481,1571.82,47522.16,2151.2,762.8,147485788.6,2884044.5,4667991.0,1.6569
36000000024,Staten Island,40.747491,-73.940902,1421.75,42502.05,2972.4,1122.7,126467731.08,1018044.4,670825.4,0.9431
36000000025,Manhattan,40.657866,-73.766355,1023.63,137721.61,3684.5,1851.5,389779048.52,4155827.9,2025503.5,1.6429
36000000026,Brooklyn,40.767355,-73.963719,897.56,64788.25,3866.6,2065.5,110439516.13,2808952.9,3442055.2,0.8683
36000000027,Queens,40.728914,-73.886166,1750.05,69275.73,3189.8,1718.2,203181606.77,2512442.1,2996172.3,1.1231
36000000028,Bronx,40.686602,-74.003254,1912.9,96587.43,4872.2,2526.0,753443086.5,3434694.6,6410141.8,0.6107
36000000029,Staten Island,40.748324,-73.754978,1685.84,60987.89,3847.2,1558.5,494912467.28,3924342.8,3474603.9,1.0184
36000000030,Manhattan,40.72233,-73.929402,1953.36,25838.68,6618.3,2905.6,329061311.07,3377445.2,2959032.9,0.8698
36000000031,Brooklyn,40.729719,-73.919062,2824.03,81983.73,5848.4,2343.0,693596970.81,4169541.1,6576394.1,1.455
36000000032,Queens,40.705236,-73.804808,1019.45,91750.01,5295.3,1814.1,421472385.23,2663357.8,1083741.5,0.7559
36000000033,Bronx,40.736115,-73.991272,1023.36,66393.12,3474.4,1351.0,623852074.1,3173780.4,5747540.7,0.4498
36000000034,Staten Island,40.660541,-73.819374,2466.29,75488.23,5052.3,2100.1,545908068.49,2873930.1,4508488.6,0.7651
36000000035,Manhattan,40.698745,-73.816138,769.41,82181.75,6266.3,2360.0,646014644.56,3361925.6,4563921.0,0.7931
36000000036,Brooklyn,40.673382,-73.714555,1214.73,74488.24,3993.5,1991.9,666934157.5,2945054.5,2864188.2,1.082
36000000037,Queens,40.681331,-73.771907,1875.43,48266.0,5382.1,2351.0,683918611.75,3796064.5,6906830.0,0.7397
36000000038,Bronx,40.638957,-73.730819,2744.64,19915.46,3559.2,1959.9,766997083.91,3778595.6,2786118.7,0.9282
36000000039,Staten Island,40.693368,-73.869613,1921.29,80580.51,2222.1,717.7,233604360.34,2648918.2,4320066.1,1.1539
36000000040,Manhattan,40.637027,-73.680304,2221.28,71317.79,4520.9,2460.1,114646363.04,1965794.1,3010942.1,0.7682
36000000041,Brooklyn,40.651713,-73.710383,1677.12,61619.87,5361.3,2071.8,112609135.52,1433174.9,2366923.6,1.1824
