seed,scenario,file,n_neighborhoods,n_steps,n_features,n_edges,treated_nodes
1,baseline,seed001_baseline.npz,16,18,6,48,4
1,market_led,seed001_market_led.npz,16,18,6,48,4
1,inclusionary_housing,seed001_inclusionary_housing.npz,16,18,6,48,4
1,land_value_capture,seed001_land_value_capture.npz,16,18,6,48,4
2,baseline,seed002_baseline.npz,16,18,6,48,4
2,market_led,seed002_market_led.npz,16,18,6,48,4
2,inclusionary_housing,seed002_inclusionary_housing.npz,16,18,6,48,4
2,land_value_capture,seed002_land_value_capture.npz,16,18,6,48,4
3,baseline,seed003_baseline.npz,16,18,6,48,4
3,market_led,seed003_market_led.npz,16,18,6,48,4
3,inclusionary_housing,seed003_inclusionary_housing.npz,16,18,6,48,4
3,land_value_capture,seed003_land_value_capture.npz,16,18,6,48,4
4,baseline,seed004_baseline.npz,16,18,6,48,4
4,market_led,seed004_market_led.npz,16,18,6,48,4
4,inclusionary_housing,seed004_inclusionary_housing.npz,16,18,6,48,4
4,land_value_capture,seed004_land_value_capture.npz,16,18,6,48,4
5,baseline,seed005_baseline.npz,16,18,6,48,4
5,market_led,seed005_market_led.npz,16,18,6,48,4
5,inclusionary_housing,seed005_inclusionary_housing.npz,16,18,6,48,4
5,land_value_capture,seed005_land_value_capture.npz,16,18,6,48,4
6,baseline,seed006_baseline.npz,16,18,6,48,4
6,market_led,seed006_market_led.npz,16,18,6,48,4
6,inclusionary_housing,seed006_inclusionary_housing.npz,16,18,6,48,4
6,land_value_capture,seed006_land_value_capture.npz,16,18,6,48,4
7,baseline,seed007_baseline.npz,16,18,6,48,4
7,market_led,seed007_market_led.npz,16,18,6,48,4
7,inclusionary_housing,seed007_inclusionary_housing.npz,16,18,6,48,4
7,land_value_capture,seed007_land_value_capture.npz,16,18,6,48,4
8,baseline,seed008_baseline.npz,16,18,6,48,4
8,market_led,seed008_market_led.npz,16,18,6,48,4
8,inclusionary_housing,seed008_inclusionary_housing.npz,16,18,6,48,4
8,land_value_capture,seed008_land_value_capture.npz,16,18,6,48,4
9,baseline,seed009_baseline.npz,16,18,6,48,4
9,market_led,seed009_market_led.npz,16,18,6,48,4
9,inclusionary_housing,seed009_inclusionary_housing.npz,16,18,6,48,4
9,land_value_capture,seed009_land_value_capture.npz,16,18,6,48,4
10,baseline,seed010_baseline.npz,16,18,6,48,4
10,market_led,seed010_market_led.npz,16,18,6,48,4
10,inclusionary_housing,seed010_inclusionary_housing.npz,16,18,6,48,4
10,land_value_capture,seed010_land_value_capture.npz,16,18,6,48,4
