scenario,topology,overall_mae_mean,overall_mae_std,overall_mae_ci_low,overall_mae_ci_high,degradation_vs_real,vs_real_t_statistic,vs_real_p_value,vs_real_n_pairs,vs_real_mean_difference,vs_real_cohens_dz
baseline,real,9.900968767715328,2.1742660859342404,8.883380916107853,10.918556619322803,0.0,,,,,
baseline,no_edges,12.059310999212045,3.505648547151215,9.551521101101397,14.567100897322693,2.158342231496718,1.973942142354711,0.07983419044792776,10.0,2.158342231496719,0.6242153139233213
baseline,shuffled,14.046037305622889,5.060554822567384,10.425934465256159,17.66614014598962,4.145068537907562,2.877208450138705,0.01826089554519637,10.0,4.145068537907563,0.9098532005521313
market_led,real,8.670601718750223,2.874920153987754,7.325097669376981,10.016105768123467,0.0,,,,,
market_led,no_edges,11.934215367975062,4.201034203265051,8.928976538450438,14.939454197499686,3.263613649224842,3.59850081256046,0.005761780212492378,10.0,3.2636136492248426,1.1379458729657703
market_led,shuffled,13.104253650190458,3.756273230071657,10.417177654345963,15.791329646034953,4.433651931440238,6.629801908902024,9.593354084038012e-05,10.0,4.4336519314402345,2.096527446786255
inclusionary_housing,real,8.645423009595874,2.3050938993668972,7.566605856541497,9.72424016265025,0.0,,,,,
inclusionary_housing,no_edges,11.337444095395613,3.0487916901833985,9.156469904956943,13.518418285834283,2.6920210857997393,3.4638543978680034,0.007117403726324161,10.0,2.69202108579974,1.095366938045398
inclusionary_housing,shuffled,13.80908525096522,4.3129160540812395,10.723810966806457,16.894359535123982,5.163662241369346,4.09195678514814,0.0027090938448591385,10.0,5.163662241369348,1.2939903528048384
land_value_capture,real,8.303129908071131,1.9381836623910504,7.396032031784398,9.210227784357865,0.0,,,,,
land_value_capture,no_edges,11.751164735611571,3.8118398734819574,9.024338757661909,14.477990713561233,3.4480348275404396,3.686318947863321,0.005025980248029446,10.0,3.4480348275404396,1.1657164057083584
land_value_capture,shuffled,14.08459520006719,4.168407822220995,11.102695877539263,17.066494522595118,5.781465291996058,5.552228473976803,0.0003554086993947532,10.0,5.781465291996058,1.7557688067407613
